hostname,RX Gain A,RX Gain B,Timestamp,Circular Mean (degrees),Circular Std Dev (degrees)
T06,38,38,2025-04-16 13:57:06,1.235239510864131,0.01418969653396655
T06,38,38,2025-04-16 13:57:25,1.2418231102906763,0.025345343155435174
T06,38,38,2025-04-16 13:57:44,1.2511381887967026,0.015982419653899224
T06,38,38,2025-04-16 13:58:03,1.2796297485279016,0.027136330970824324
T06,38,38,2025-04-16 13:58:22,1.3194531122321,0.05819013562490263
T06,38,38,2025-04-16 13:58:41,1.3047545829648748,0.05109437787589476
T06,38,38,2025-04-16 13:59:00,1.2566394818510733,0.009919227504034421
T06,38,38,2025-04-16 13:59:19,1.272890133452334,0.017098761221294452
T06,38,38,2025-04-16 13:59:38,1.3185288065436822,0.05679509145139397
T06,38,38,2025-04-16 13:59:57,1.1850596385206078,0.05663625268064715
T06,38,38,2025-04-16 14:00:16,1.2830168885497433,0.02007346370971467
T06,38,38,2025-04-16 14:00:35,1.2751570773257035,0.02951851654682015
T06,38,38,2025-04-16 14:00:54,1.2584126886063514,0.009855871928818871
T06,38,38,2025-04-16 14:01:13,1.2328309259422836,0.01538853928379453
T06,38,38,2025-04-16 14:01:32,1.2573245255126961,0.010922085881390408
T06,38,38,2025-04-16 14:01:51,1.26514624828536,0.016750289612831253
T06,38,38,2025-04-16 14:02:10,1.239140722611727,0.03384554789182291
T06,38,38,2025-04-16 14:02:29,1.2440839815362341,0.011369546211956363
T06,38,38,2025-04-16 14:02:48,1.26456073415539,0.010868487325714259
T06,38,38,2025-04-16 14:03:07,1.238867520845393,0.020477082527053
T06,38,38,2025-04-16 14:03:26,1.2285792441974968,0.03971097133643828
T06,38,38,2025-04-16 14:03:45,1.288319322631081,0.03139231299482427
T06,38,38,2025-04-16 14:04:04,1.2845282768808344,0.023664482213868868
T06,38,38,2025-04-16 14:04:23,1.31400553758901,0.04634264806362617
T06,38,38,2025-04-16 14:04:42,1.2455273651084122,0.013456869358157304
T06,38,38,2025-04-16 14:05:01,1.2983160752454133,0.03560899413916544
T06,38,38,2025-04-16 14:05:20,1.3072623690335086,0.04373284509974902
T06,38,38,2025-04-16 14:05:39,1.2541372862461002,0.011999981923129142
T06,38,38,2025-04-16 14:05:58,1.2524566405898596,0.02564844070395117
T06,38,38,2025-04-16 14:06:17,1.2581726034096652,0.014880792852611806
T06,38,38,2025-04-16 14:06:36,1.276784333038835,0.05306463241580182
T06,38,38,2025-04-16 14:06:55,1.2319854561386505,0.03851737925565767
T06,38,38,2025-04-16 14:07:14,1.254973392113634,0.018620116328641818
T06,38,38,2025-04-16 14:07:33,1.2884658940337006,0.032119087079748226
T06,38,38,2025-04-16 14:07:52,1.2767994692026132,0.03914670136345236
T06,38,38,2025-04-16 14:08:11,1.2417064664655204,0.013763493809381947
T06,38,38,2025-04-16 14:08:30,1.2425803622922993,0.0216214091217896
T06,38,38,2025-04-16 14:08:49,1.3081585946486034,0.03906554781926186
T06,38,38,2025-04-16 14:09:08,1.2553076902652902,0.009243440807627172
T06,38,38,2025-04-16 14:09:27,1.2840774706790263,0.0516875643281693
T06,38,38,2025-04-16 14:09:46,1.2540268953288036,0.009481968366081601
T06,38,38,2025-04-16 14:10:05,1.2766197258623593,0.03492049711132422
T06,38,38,2025-04-16 14:10:24,1.2603584170438091,0.009003925155149781
T06,38,38,2025-04-16 14:10:43,1.2187193571124495,0.03638854199913333
T06,38,38,2025-04-16 14:11:02,1.2573682701399262,0.014695416999868016
