ts,CH2,CH3,CH4
20251118_130328,174.6399577915589,332.2168916017814,109.794662908041
20251118_130438,158.179646632727,337.9496654165472,111.7428384117681
20251118_130549,162.1887138671839,321.2551933222105,100.406779047009
20251118_130700,162.0369600471269,327.80820240233,102.213717132156
20251118_130811,178.6098043703575,328.8104265491062,100.0246040373495
20251118_130922,161.9312146201067,328.9946380008109,101.5488903188555
20251118_131033,160.0179264468694,327.7207190124034,99.7018452928518
20251118_131144,162.7067967111342,328.784356887952,102.1895744590704
20251118_131255,9.91e+37,9.91e+37,9.91e+37
20251118_131443,206.700867215808,56.8971557090744,235.4394527634513
20251118_131554,203.4126667478588,52.8043094107375,231.5683745674797
20251118_131705,207.7563394645573,57.4374636076103,236.8809596373107
20251118_131816,206.6841431869045,58.7456904793934,235.7266314523922
20251118_131927,206.8189074083702,59.1530154448454,236.0254757509103
20251118_132038,206.4996852393285,58.9548490171,235.0371208512935
20251118_132149,207.4491105866094,57.1756373975866,235.4185493369144
20251118_132300,205.9285857786024,58.8628698552123,234.861483376007
20251118_132411,206.2406404655763,59.099632970496,235.832455584004
20251118_132747,251.236437562951,147.3047811674861,10.011394595896
20251118_132858,250.850906091749,148.5054065282616,11.5012742213542
20251118_133009,252.1515419797987,148.7470344494405,9.6426073525657
20251118_133216,53.2556310763648,107.7763955409224,101.1184504012232
20251118_133327,52.8014203825929,108.1062133208302,101.815795020686
20251118_133438,53.7757630749393,107.6489011683183,102.9166064841168
20251118_133624,209.0233583553007,59.893361331896,237.5516761226677
20251118_133735,208.900606330923,59.457297395824,235.340491881038
20251118_133846,218.0522521223577,59.6778230480655,237.0649625854515
20251118_133957,207.3062806413606,58.23451142851,235.2070327621449
20251118_134108,209.0807851056422,60.0638895429337,238.4723253137801
20251118_134219,209.4443101474821,60.0690234894337,237.4885810879236
20251118_134330,207.3215685871049,58.6808404966572,237.0258629033224
20251118_134441,205.7009099945505,58.1937969613118,235.9450550023165
20251118_134552,208.9453479244621,59.583953891,236.827403377026
20251118_134703,207.092065964811,59.042015007,235.880049488997
20251118_134814,219.8120000618309,57.4046878705654,235.2501212366851
20251118_134949,52.7450399051056,107.7926325158339,100.5389446714535
20251118_135100,51.6035028002571,106.1388555897411,101.3080223974663
20251118_135211,52.2570564775743,105.641875812291,101.4800584784666
20251118_135322,51.8271479339419,106.8486990576381,100.6741930920868
20251118_135433,53.2898347515897,108.290764046034,103.2382824159208
20251118_135544,51.3475734885535,105.8994964038173,101.0174311114355
20251118_135655,52.2288333151698,106.7589911466684,100.5116479824436
20251118_135806,53.4909189873724,105.8202205362426,99.9226948624171
20251118_135917,58.4379506405905,105.78428598196,101.1248281927874
20251118_140028,50.9821728335239,105.6015503643007,100.298984632148
20251118_140139,50.8221420867272,105.9087803958597,100.6797224629446
20251118_140250,51.8731391448488,107.636942647061,101.029931014271
20251118_140401,50.9089476065735,107.2358758737746,101.3728808037739
20251118_140512,51.672489931099,108.3281295743182,101.4383477644221
20251118_140623,78.7793987200538,105.7353881672988,102.8187087942781
20251118_140734,50.4858927412379,106.9599041965966,100.8711562736787
20251118_140845,51.8339639010403,108.097643364029,101.4518131047067
20251118_140956,50.9059729561686,105.5840559247235,100.3772658931849
20251118_141107,52.7069516630813,109.7270577442909,103.4242518761586
20251118_141218,50.6335121515375,107.0056762518679,101.1852585157028
20251118_141329,51.2221347292297,107.1596154029497,99.5609047511709
20251118_141440,51.21263714494,108.0495875469301,102.0251425988011
20251118_141551,52.545164021604,107.680829792996,102.0897761790901
20251118_141702,49.9128944602545,106.9537198909065,102.633505849784
20251118_141813,52.2670887537206,105.6513994520935,101.1269214094006
20251118_141924,51.0504361138774,107.4180619936115,100.7434478886656
20251118_142035,93.414063197423,107.3316156221163,101.2333626395664
20251118_142146,50.7435933395621,106.5350315582291,100.166299516028
20251118_142257,52.7765098556949,108.0783377474859,101.5478611848979
20251118_142408,52.5539481348651,106.46875147002,101.0801478978965
20251118_142519,51.3028436313608,106.3925233873025,100.2500323956394
20251118_142630,52.2139461220783,108.1564455916558,102.6331489924078
20251118_142741,53.050836699031,107.9761558997909,101.4168705526099
20251118_142852,52.905334496824,108.293112663807,102.281604088023
20251118_143003,52.8729234981759,107.8479447652209,101.9576866153936
20251118_143114,70.5264386241297,107.2886808937019,100.6833772406102
20251118_143225,52.6505242154454,108.737390528018,101.8200018186468
20251118_143336,52.1072364440799,106.840952580855,100.4456789224688
20251118_143447,69.2045799115684,107.4312071855998,101.9202832583611
20251118_143558,52.0667841356297,106.9510936185746,101.65772919398
20251118_143709,54.9719612659642,106.7514872462256,102.0601424273235
20251118_143820,51.7120003910361,106.6929176792202,100.9845885453181
20251118_143931,51.8184887237605,106.7273673247024,99.2175418885662
20251118_144042,53.5103102992313,107.8592320468122,101.5396483
20251118_144153,51.4298694306799,107.7768120151093,102.2925446595818
20251118_144304,53.345872775298,107.2964099338712,103.3073340998702
20251118_144415,52.5827442871859,109.0627289679426,102.5553609291634
20251118_144526,53.0840127035262,107.6620454622436,100.940970577984
20251118_144637,50.5870244118099,106.3494815536089,99.7250207127772
20251118_144748,51.272322351781,106.083737413991,101.136377904006
20251118_144859,52.4086199592481,106.6368810328756,100.9020026108907
20251118_145010,52.3584899451129,107.3764293172497,101.4164022935336
20251118_145121,52.0754295184888,106.3585869289252,100.9481657617629
20251118_145232,50.6457364200295,106.9357815102831,100.0832937777127
20251118_145343,52.2388280830274,106.0505545341907,101.4147994233038
20251118_145453,53.1301478483054,106.1788563202575,101.5557233951444
20251118_145604,52.1661847110223,107.2176429661167,100.7261837700646
20251118_145715,52.5019232286741,107.512624985953,101.6985180185536
20251118_150751,52.7798709451765,108.5994891367643,100.9071413912036
20251118_150901,51.0247832949593,106.896943540977,99.4888300891751
20251118_151232,206.5624708571602,59.3355203271554,237.0302888057678
20251118_152044,51.4921586578787,108.5701767421981,100.638031015219
20251118_152154,52.0024691635151,106.56120441303,101.55956283462
20251118_152305,50.631163229765,107.0095249572312,101.4156848154834
20251118_152416,52.258421157583,108.7567091772498,102.2316921376754
20251118_153702,53.3882347318119,109.3760469733937,101.824880071001
20251118_154058,51.8744015510335,106.5875177621654,101.1451430031873
