hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees),max_i,max_q
T08,30,45,177.6479539869178,4.9519354537001385,1.0000342,0.99875236
T08,7,7,-2.177127413829481,3.413509203676251,0.018311173,0.015381385
T08,30,38,178.3851639455286,1.894970232023491,0.55864334,0.48426947
T08,30,21,0.6633114842061412,1.9542920265069024,0.19501399,0.1955328
T08,30,36,178.76633545099176,5.588191289342391,0.3773017,0.39161494
T08,30,20,0.43948441033373414,2.1117488083035867,0.19657044,0.19605161
T08,30,41,177.91275955526493,4.65543749702104,0.7005244,0.6875235
T08,30,11,0.08753566284463639,3.4421720938258935,0.20035474,0.20383386
T08,30,10,2.7760849207323033,2.9087050345787198,0.21149404,0.21070056
T08,31,31,-1.7555186007430716,0.053133171706871866,0.23868613,0.23816732
T08,16,16,2.1679279993392004,2.956840327817416,0.048768755,0.044160444
T08,25,25,-1.727360415105553,0.10259226109820918,0.112094894,0.11148452
T08,30,15,4.829795032728069,2.488604302469853,0.21100575,0.20740454
T08,36,36,0.7123138614482916,3.2432890441239985,0.41102478,0.40403602
T08,33,33,-2.028320699418019,1.0019680420898067,0.29804486,0.3096114
T08,30,48,175.03154248315053,2.033750056431149,1.0000342,1.0000037
T08,24,24,-1.9196968699962833,1.5310621827404283,0.103427604,0.09994848
T08,30,31,-1.7253005005289384,3.344982863722495,0.23941858,0.23703812
T08,30,12,3.8300950911253953,2.1924403725059203,0.19431205,0.19632629
T08,30,18,0.3655352544284525,2.6019876120567615,0.20099564,0.20383386
T08,30,34,-178.64053022888066,1.5741180189288704,0.28403682,0.29166645
T08,23,23,-1.4526019916233044,3.487808833789939,0.08609303,0.09076238
T08,22,22,-1.7020786300907254,0.043031663702743944,0.07940945,0.08029449
T08,40,40,-2.5149026402733314,0.052105104771098115,0.6064966,0.6157132
T08,27,27,-1.8954217305584438,3.54266275415171,0.13754742,0.13983633
T08,30,46,179.00307310475864,3.0666196255851976,1.0000342,1.0000037
T08,30,16,-0.06059768664686188,2.6177678627776713,0.20911358,0.21057849
T08,29,29,-1.5908003625621767,0.3972643578675605,0.20087355,0.1814332
T08,19,19,1.8069005938067053,2.5454634879682687,0.070681125,0.06100672
T08,30,30,-1.6669516066603514,0.9037183007966536,0.21051745,0.21475953
T08,45,45,-2.7034085020251375,2.3365780691008307,1.0000342,0.9985082
T08,14,14,-1.9322400191311477,2.935671202907665,0.035096414,0.034791227
T08,30,29,-3.567932407565053,2.699719391643111,0.21009019,0.210609
T08,26,26,-0.719904155207718,0.7605206796993098,0.11954144,0.12582827
T08,47,47,-2.6237751242566945,2.6785026996652967,1.0000342,1.0000037
