hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees),max_i,max_q
T05,30,16,5.550352715208307,0.14824410763751364,0.20761818,0.21646857
T05,40,40,2.3270813861329436,0.11196177867958765,0.60637444,0.62196946
T05,25,25,1.8879031980564098,0.12381770530904242,0.1116066,0.11526883
T05,30,11,5.639448922808793,0.1680467938472553,0.21179922,0.21582769
T05,30,19,6.714865737429455,2.0307194151685697,0.21573612,0.21091418
T05,13,13,1.6199819744555213,2.299936139963301,0.030579658,0.033723075
T05,30,39,-178.55426403864527,0.18367262810339838,0.55601877,0.5719495
T05,30,7,9.457653518126,2.06752424871653,0.21005966,0.2142102
T05,30,14,3.166574187682111,2.1926198867735915,0.21671273,0.21024278
T05,47,47,2.430436733617222,2.617134329092359,1.0000342,1.0000342
T05,7,7,7.153528969914724,3.724833106823194,0.01617487,0.016541092
