hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T06,30,41,179.2270053506335,1.5293789426917197
T06,30,18,4.226957873681038,0.9794463663305749
T06,30,38,-179.43244028729333,1.9708531297032104
T06,30,16,5.997445854677745,1.9848792389344418
T06,30,30,-0.1341178295640898,0.21792449569315495
T06,32,32,1.6791499587059886,3.4048769888963033
T06,45,45,0.3495898187056716,2.1075234732061663
T06,16,16,5.312247869400174,4.025692261155752
T06,30,17,0.5206950768214061,2.058522908852451
T06,9,9,-0.1372115259234756,0.10468530064582715
T06,7,7,5.129321130741966,3.937527413035179
T06,30,28,1.5089574852625514,0.3285092617034267
T06,37,37,0.4996759915667829,0.043787977340772215
T06,19,19,5.313628289628428,4.127348323277456
T06,30,12,3.2044149053387607,0.2317386243072609
T06,30,47,-178.89115972783506,2.8826782295256512
T06,8,8,-1.329770818345626,3.435459060055579
T06,30,23,3.9448595607501216,2.5313498067233193
T06,25,25,-0.09343064502185293,0.08865551387984097
T06,30,45,179.1620780996546,2.290961377492324
T06,30,15,3.105177998555292,0.283883211275986
T06,30,20,4.461204416744752,2.6941418852426198
T06,30,26,3.1149616391470767,2.2080922882970233
T06,30,19,6.109738214808005,2.1756097270534718
T06,39,39,0.36154681276734923,2.8249769922033705
T06,15,15,-0.5420945227990724,0.35207966066187657
T06,36,36,1.698710513836277,3.1198254665816507
T06,24,24,-0.11874257991084591,0.23809813133167634
T06,10,10,2.405535274401293,4.213809645468935
T06,30,14,0.9473301159227392,2.169238224035392
T06,30,46,179.35759937867795,4.694204860139483
T06,30,37,179.16532693099074,1.5533643709863478
T06,48,48,1.7914299714138067,2.5756196670225604
T06,30,35,-176.69926789710902,2.6634959172543446
T06,30,13,5.219317554671564,2.015175098973922
T06,43,43,0.4691066796203118,3.462531286490791
T06,30,39,178.08866426705202,2.4104403615863146
T06,30,44,179.19764582636435,0.19284037281360272
T06,47,47,-0.2765320363452771,2.7400092870184576
T06,30,21,1.5382445268018965,0.11915263259380696
T06,23,23,-0.07152672468487963,1.7024932404281565
T06,33,33,-0.14573362870455803,0.20742896811457456
T06,30,8,3.3827292110507647,0.1992642386867961
T06,30,42,177.5583726822118,2.1550497143303167
T06,41,41,0.4988274071986425,0.03157983723273966
T06,22,22,-0.11952014811515213,0.07245999521453127
T06,44,44,2.9162898776695143,3.6920673507026858
T06,11,11,-1.685660210185059,2.9322045313829714
T06,26,26,-0.6575657529958882,2.5948719450107904
T06,40,40,0.5128010784591956,0.22425445294451152
T06,29,29,0.11084250435535371,1.0745573600835594
T06,30,24,1.3360168420293494,0.14865719391265514
T06,27,27,-0.16275003792582335,0.20765949309869788
T06,35,35,0.6164137766748653,0.07780762208315789
T06,30,11,4.781669074412351,2.890698050700798
T06,17,17,-4.937703898818442,3.7668868527286152
T06,13,13,3.556224637670846,3.2646188365524016
T06,30,32,-0.4927027123211914,2.9101247769378347
T06,30,22,1.4132828717810708,0.1258839423358494
T06,21,21,-0.10996778667309237,0.08549635917677194
T06,38,38,0.4886422555023993,0.013978178708152876
T06,31,31,-0.17680498671505374,0.06172767797936708
T06,30,33,-0.13269501048220442,0.1989190924391386
T06,30,31,-0.18831583058663143,0.03724090221610847
T06,30,25,1.5086904643582288,0.23007868934426345
T06,28,28,-0.10035524026375497,0.047923602617648484
T06,30,10,5.875133695276411,2.0859810621145876
T06,30,9,3.3913327161189266,0.15110904879266915
T06,30,29,1.5421870367148243,3.1540576024846514
T06,34,34,0.5727461849431819,1.342646145533942
T06,30,40,179.28153052541774,1.5632763892898713
T06,30,36,-179.66764818423704,2.7399763578833394
T06,12,12,-0.41619867728721527,0.24440291403271733
T06,46,46,-0.21984838797296158,1.9911423529719594
T06,20,20,-0.03601488018992095,1.4860390097396947
T06,30,43,179.8730891357561,3.2707612343924364
T06,30,7,7.643505014304913,2.1354183602601826
T06,14,14,-3.946494962886837,3.303666217486996
T06,42,42,0.6781392851633966,3.0686368149374066
T06,18,18,0.07355634077914265,0.9023233394872615
