hostname,Meas id,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T07,1,30,21,-167.62624550647246,0.33412149176391504
T07,1,30,37,10.86676626852087,0.052269513357959964
T07,1,30,24,-168.5823021035414,1.3583621392609335
T07,1,30,43,9.582291253001868,1.600373774470944
T07,1,30,10,-165.94604600204158,1.6297135547259411
T07,1,30,17,-165.07718047848664,2.8262170866295886
T07,1,30,19,-164.785815273458,4.935056880241947
T07,1,30,35,13.945817002558638,0.18005925203731962
T07,1,30,34,16.524670533296156,1.5123102274588374
T07,1,30,44,10.02623582410043,1.110912283883074
T07,1,30,42,13.897795219156002,2.140250218969186
T07,1,30,36,11.145131869075833,0.9404577097348079
T07,1,30,20,-168.34032974507417,0.8676832722370006
T07,1,30,14,-164.4632151862287,4.564848663999551
T07,1,30,32,-168.62336989674515,0.11767267326796707
T07,1,30,48,13.824796465044153,2.220975403132057
T07,1,30,26,-167.604571629908,2.6848398854425315
T07,1,30,39,10.762562302316425,0.05486656388707137
T07,1,30,16,-164.8904066518635,4.795065148743187
T07,1,30,45,14.5845378372865,2.1997301203486956
T07,1,30,33,-169.1815117693907,0.1547859299523489
T07,1,30,18,-164.82048782828412,4.160097079261204
T07,1,30,31,-168.29473272375049,0.12396800353523833
T07,1,30,23,-167.87062102554015,0.9541709469536344
T07,1,30,22,-166.89034349490692,0.29621341928798905
T07,1,30,8,-167.02376550774775,2.141440337020333
T07,1,30,13,-165.30746214432276,3.6971442684042963
T07,1,30,12,-164.68453798791126,3.889633375853693
T07,1,30,15,-165.1532258779126,3.3756335913551183
T07,1,30,27,-167.7899362402362,3.343087987478149
T07,1,30,40,8.678863717406628,2.096357260032281
T07,1,30,47,8.722008806338923,1.5979083525149804
T07,1,30,46,9.887663071229557,1.1795353617322908
T07,1,30,25,-167.29690848887336,2.917484286232899
T07,1,30,38,11.407288384731718,0.05303863292378726
T07,1,30,28,-166.99642327682923,0.3581035977153292
T07,1,30,30,-168.54623961536944,0.1797950161852492
T07,1,30,11,-164.61508716230418,3.262238650971421
T08,1,30,17,-162.5773598352544,3.1171006333250957
T08,1,30,26,-164.19089756471027,0.5370542550560018
T08,1,30,16,-161.68965370931826,3.0251981857629286
T08,1,30,33,-162.6772481597146,2.6045072687537916
T08,1,30,9,-163.3636735452308,1.9018988943162334
T08,1,30,24,-164.70585253004268,0.23294795397164353
T08,1,30,22,-165.33872789699345,0.2655577800070879
T08,1,30,46,13.927739474984408,0.10304939788571615
T08,1,30,29,-165.01944216854352,0.15511222532741978
T08,1,30,19,-162.7007230266602,3.022743297711064
T08,1,30,47,12.63878651308974,2.03900284312352
T08,1,30,37,13.611482659666303,0.05873170670942581
T08,1,30,18,-162.1782877940625,3.7631986703923253
T08,1,30,10,-162.49962131368923,2.2414078176639967
T08,1,30,44,12.339280193512478,2.2620304952938337
T08,1,30,39,13.83489529325762,0.04943596245747553
T08,1,30,12,-161.17622934076627,1.8934253954369324
T08,1,30,30,-166.4603561460056,0.1086767579666145
T08,1,30,36,13.490784697265545,0.05354987747854698
T08,1,30,28,-164.74647991160924,0.1856379058772434
T08,1,30,42,13.490796292540034,0.07711545573430419
T08,1,30,31,-166.16502806076454,0.10057551066659902
T08,1,30,20,-165.67964859179023,1.2016481201643645
T08,1,30,32,-165.9931380517505,0.987869354434224
T08,1,30,48,15.477518097350785,1.451833696623564
T08,1,30,11,-161.95840092685359,0.8395534213245162
T08,1,30,15,-162.2987007512832,3.2715716372150996
T08,1,30,14,-161.72444482264723,3.236331557959511
T08,1,30,27,-163.5624086944441,0.7633598122010844
T08,1,30,38,16.47916488372019,2.6879729338600558
T08,1,30,40,13.828872356307055,0.049702803851239596
T08,1,30,34,16.361927445019585,0.37145099202162624
T08,1,30,43,13.792752607228241,0.06935254709183353
T08,1,30,7,-159.5512940068328,3.7600958047610913
T08,1,30,23,-164.5585108847227,0.29008471721255347
T08,1,30,25,-164.69346976169436,0.3132284495436749
T08,1,30,13,-162.22316146229835,1.7616206461477275
T08,1,30,21,-165.91388560830438,0.5452659368933183
T08,1,30,41,13.197915836178506,2.096400727699861
T08,1,30,45,13.982758422005979,0.10356967867377678
T08,1,30,8,-163.70279949653462,2.0886272587831898
T08,1,30,35,19.21295112441395,2.05155601031384
