hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T06,26,26,0.9020523662225434,0.2587551289132691
T06,27,27,3.0206415710825425,2.9122131524680768
T06,28,28,0.8699893947466353,0.22351758480542233
T06,29,29,1.9674750920072843,1.2983784137377037
T06,31,31,0.9702966886262355,0.03754536884213898
T06,32,32,1.0040004408547034,0.9643529525193764
T06,33,33,1.0287538713755406,0.37361249766555166
T06,34,34,1.7679245041277911,0.6122217655692261
T06,35,35,1.2845199762723565,0.13616561496104226
T06,36,36,1.8373195077286577,2.4341237428519196
T06,37,37,1.3925273311383692,0.18567656846876726
T06,38,38,1.2296391350327363,0.04695320464863948
T06,39,39,1.8678166063740995,0.44875662150617907
T06,40,40,1.6126614513380517,0.5118004410229036
T06,41,41,1.280099769355803,0.0671129781695881
T06,42,42,1.3132322562496075,0.6904899123399467
T06,43,43,1.1873141091491228,0.10521412154374778
T06,44,44,1.1967220145675428,0.10510372978956602
T06,45,45,0.6466704729969512,2.2045925884706703
T06,46,46,1.4725362009262621,0.8045882783031415
T06,47,47,1.28151173701573,0.05310501427664472
T06,48,48,1.832669244754453,0.712785982050938
T06,7,7,-1.263877697265354,1.7991010157724623
T06,8,8,0.9051404592563598,0.2202699465795247
T06,9,9,0.9425331711564695,0.2792368451773599
T07,30,10,5.869226192422347,2.133697633237709
T07,30,11,7.570266796666121,1.96107172106147
T07,30,12,0.9917080017194587,2.8594957652262214
T07,30,13,6.0304452645160564,3.4194952254032613
T07,30,14,9.403987683604749,3.733818392058703
T07,30,15,4.463705579907885,3.028849563443752
T07,30,16,6.240038332862163,2.683825802997183
T07,30,17,5.317570297494083,1.9718667127259424
T07,30,18,6.254418167750018,2.7474759715590933
T07,30,19,8.163851406067002,3.6708153394639096
T07,30,20,1.2511394432275194,2.1749491235329996
T07,30,21,2.169835264086342,6.101497895879883
T07,30,22,2.759784233320598,3.6472709377480084
T07,30,23,0.9796419665944299,2.433442037417621
T07,30,24,1.9567974428517947,4.001992820599229
T07,30,25,1.418504184323552,2.688795619090662
T07,30,26,2.9965550988653114,1.4621609485916454
T07,30,27,4.582498707257298,3.1955167537610194
T07,30,28,3.013867488437517,2.930208684902549
T07,30,29,6.111458013676783,2.8562976677575174
T07,30,30,1.145356508968149,0.41322828006836426
T07,30,31,-2.326709864486184,4.584512209946657
T07,30,32,2.1625565329301017,2.060734954527092
T07,30,33,0.9218271538518434,1.4299319663800256
T07,30,34,-179.9485742889695,3.945219569584871
T07,30,35,-179.26339409530323,3.314097941006982
T07,30,36,175.82651508372197,7.341111287426776
T07,30,37,175.26059309598855,0.8569173769557664
T07,30,38,176.60779391341057,1.7744943216898734
T07,30,39,175.30000247540565,1.669753268401401
T07,30,40,175.7065781728442,0.7729280705544773
T07,30,41,176.53644446400475,2.34128870477389
T07,30,42,-178.86053718985272,4.025760437990753
T07,30,43,176.02022754380823,0.8154127778321085
T07,30,44,175.51652121489414,3.161683471361374
T07,30,45,-179.58188529568662,4.553318416771637
T07,30,46,175.9637187439262,1.1328892109671733
T07,30,47,175.8601702514424,2.147386348729283
T07,30,48,174.37166856801784,1.7854283023730904
T07,30,7,5.9664079210206244,3.6854177995524506
T07,30,8,3.9339152846008614,2.025134411198347
T07,30,9,5.826903237700878,1.9207569797178876
