hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T06,30,29,3.0961168246440365,2.36358754783602
T06,12,12,0.4669826907399364,0.16060942092303027
T06,15,15,-2.387672886755881,2.110436622986336
T06,30,22,4.356794107383647,2.0650197333067246
T06,11,11,-1.3376815467148915,3.4762150688252222
T06,30,44,173.2464191600771,3.0017427016713936
T06,17,17,4.239163192310854,2.8665280832029763
T06,43,43,1.7520104245211283,2.2105538733296033
T06,30,25,4.563321773679899,2.153903166323085
T06,14,14,2.324111293985365,2.9048339780251
T06,23,23,0.13511962890627163,1.2892056512569288
T06,30,35,-179.6215392008834,2.2704241706865607
T06,27,27,-2.298094436798454,3.0024737173032903
T06,30,8,3.021426856539691,6.162285509255033
T06,30,14,7.41994078467873,4.084082323513072
T06,30,20,1.4142373705652038,3.2187136184594984
T06,30,30,1.2275106335567996,2.377067610927912
T06,30,48,177.0086530368463,2.296072118152558
T06,30,36,178.4288262760929,5.0256175112806885
T06,30,16,1.6138741587079248,1.9057093081551129
T06,29,29,1.026938998647089,0.7598843620853265
T06,34,34,1.8843221376041037,1.4306691306438983
T06,45,45,1.2896730999056507,2.7837002193530274
T06,30,23,2.023968298186026,2.9567596120594932
T06,44,44,0.3074787021104822,2.358103166654814
T06,37,37,0.7874651381538335,0.112968731679736
T06,30,10,3.8690765693482936,2.3183400679299067
T06,28,28,1.8339920338486047,1.7553400617285373
T06,33,33,-0.4541380846762873,0.8037712526636592
T06,30,39,176.12666201100316,1.8501820267034603
T06,30,26,3.173549572813872,2.408172158051747
T06,30,31,-0.8456441394092334,1.792256489441338
T06,21,21,-0.20278172681663256,3.4169888580374743
T06,30,13,5.0427539042257035,2.328141068471062
T06,20,20,0.5504272473383286,0.10519646852487274
T06,30,34,179.91892138998892,4.039647122494504
T06,10,10,0.461973545318809,0.111415224808231
T06,30,7,8.294157732283804,3.102477914175306
T06,30,38,175.15785328421893,2.4132906271441765
T06,46,46,2.4515735046052147,2.576598110483078
T06,40,40,1.8282026446997346,2.727481567718278
T06,42,42,0.9347323472831643,1.3261076595534502
T06,31,31,0.3900188233747403,0.14891415600683885
T06,30,33,0.3097885276169821,1.3395513850931422
T06,32,32,0.7519056118337929,0.8028662332447489
T06,19,19,3.014212972534799,2.1383859399420775
T06,30,43,174.62424266977575,1.980452388296027
T06,26,26,1.7802043342111173,2.0257480418074665
T06,30,45,175.92896588420112,3.9454932789522945
T06,30,17,1.6882726664002832,2.7334812694515684
T06,30,42,175.50516501546667,4.077586471208627
T06,39,39,2.377646846534968,1.7797175737892446
T06,30,47,178.29681692142915,3.2979625571363713
T06,30,11,4.235307979535841,2.4303763256408306
T06,24,24,-0.29652443583466753,1.7714609612687082
T06,22,22,0.4834479734915687,0.1436284644381645
T06,7,7,0.5729550475083983,0.8783822305548841
T06,47,47,2.365484628501839,2.4156343268163103
T06,30,18,1.3302561959895842,2.2221748261014924
T06,18,18,-0.9610688836590952,1.770792375363084
T06,30,15,1.2783615224263392,2.153251625721186
T06,36,36,0.43171481671721484,4.500448026627409
T06,30,19,3.628113989421451,1.8213745737886131
T06,16,16,3.0686633822070712,2.0663316231768225
T06,30,41,176.33977728306854,4.489935014470799
T06,30,9,4.175966676021501,1.853880334967086
T06,30,27,0.6273754472123879,4.915636543437261
T07,13,13,9.19391832617523,0.258038531281677
T07,19,19,8.938511966378023,0.42359442089091753
T07,30,24,13.244427606286152,3.6635621607996374
T07,35,35,8.643810734331348,0.08471847887138474
T07,30,33,9.69988711448874,1.306566142496795
T07,30,47,-177.1310661717235,2.7295893910764732
T07,44,44,8.294841096241244,2.55146507505283
