RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
10,163.58510966335615,0.49245957438962445
11,162.6839614244797,1.077150902816351
12,161.54260500062932,2.2116370442010376
13,163.31750181999828,2.6053709648983343
14,163.74925773582038,2.714618173560989
15,163.64373087396737,2.6790864235843492
16,163.8468169984115,2.6956832998624245
17,164.2792075421727,2.856094658901023
18,163.19065558783572,2.905814787320007
19,163.86513705517038,2.9514086386069045
20,161.76160642785493,0.3136699229519013
21,161.8482597617191,0.28693340324515115
22,163.9785079445054,3.01738442898565
23,161.89206549682416,0.32583999362336685
24,161.96425367069537,0.675598697439865
25,163.21241437497173,1.1817020449067182
26,158.91836635758034,2.1145350372223923
27,164.95236599847624,2.283406332431431
28,164.7379934856464,2.4368556187055743
29,161.92394448621187,0.2874663023890162
30,160.5390265057103,0.1760892629861993
31,160.25116920426828,0.6560817685804287
32,160.31158071025888,0.317643046715935
33,160.47963284605905,0.33237962344529576
34,-22.691885431147533,0.2742288886485979
35,-20.37251168767667,2.594067079803613
36,-26.51589871145127,0.26583661610048653
37,-24.726667948989036,2.560800221872371
38,-26.363173732977494,0.34514331684562166
39,-26.452162123561095,0.25442008331048926
40,-26.144023404071387,0.813672391217481
41,-26.517075965327674,0.23165085026941495
42,-26.56354511537075,0.3510626535827681
43,-24.45757108225107,2.1810955330874724
44,-26.6781303722923,0.21522312289004816
45,-26.634788668608977,0.28073213163165645
46,-25.6280244918449,1.1412187596746783
47,-26.588567511579658,0.3698801892025205
48,-26.594121094495588,0.2771569878335741
49,-23.667148581890036,2.3838368585391128
50,-28.302333565324624,2.0365574520616296
51,-26.71208203159874,0.30735227988570235
52,-25.421134792202917,1.2274059067570913
53,-27.524419429886834,1.5464303976883185
54,-26.688977664508677,0.2632421262053136
55,-20.223079566624367,0.26225968497064706
7,165.32259157513744,2.70397790586244
8,163.00763987718145,0.8368439574024125
9,163.92495771493253,0.35807504807410223
