RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
10,-148.90234069736024,0.6290023632503384
23,-152.9205030411977,2.162463844722681
37,23.23572162798109,0.034470242999070644
31,-151.71473598458508,0.275066299281819
27,-152.1590436163486,1.6596864381433056
36,22.6257672829441,0.034793187187325894
42,22.958729287338443,0.03976186860783533
41,23.119648801453543,2.5598372483165504
35,29.42587748790519,1.4036420230976754
20,-150.41962036298398,0.1078727947331691
34,26.748424512259977,0.06364009053663286
43,22.983179104410176,0.03416255892494177
53,24.708533645752944,2.5299786836757354
52,22.905950216928932,0.031677003888372614
33,-152.02680921313126,0.04632818381227506
29,-150.2197287280144,0.06163883629595818
30,-151.19128638247827,0.04835147741420762
50,25.220765268268217,2.2929083797543743
15,-150.54525858366668,2.1128384065888692
14,-150.80692628431882,1.831243236536612
17,-149.08019160962144,2.590469291537512
46,22.931955133875213,0.03629609432106207
49,22.654348715224366,0.055463133853632454
38,25.777510752328634,3.163439748726467
44,26.19137645508083,2.805040449068981
8,-147.93507414158253,0.27787533082247334
25,-146.91367681374885,2.094329811560705
13,-150.60364474115767,1.5707233139261028
21,-150.18792749828125,0.15878071890037956
16,-149.3765126420446,2.4937057801600977
24,-148.5815996050774,1.420365497794592
45,22.93139250606048,0.03419147255976491
47,25.92915531907977,3.207276330753288
12,-150.39585369940826,1.4522714663573355
32,-151.9724841691698,0.04699377223706856
11,-149.88507941286076,1.3960700656058043
48,23.240705429842137,0.037447755803107746
26,-153.01980405537626,1.9307772142809234
51,23.280067523692512,0.03635208885132837
55,29.2008202733557,0.03134190900908255
40,22.892335727554627,0.0326056700550142
19,-148.81237828881495,2.869210417963068
54,22.59296935201909,0.03606708785270709
22,-146.73779649288164,2.118693372668811
18,-148.6735248461791,2.726162105458091
39,22.9479198619157,0.03368982355379197
7,-145.82906843022408,2.2912273221880026
9,-148.08825726671003,0.4333169961791301
28,-149.62456835196915,0.0573126680648518
