ts,CH2,CH3,CH4
20251119_112625,357.5082119284336,350.9418346563793,352.5880806602344
20251119_112728,317.2428651425012,352.4799897697452,353.3708446533686
20251119_112831,358.3194921608584,353.5897022865133,352.343999704993
20251119_112934,350.7197329180946,353.4685031966275,352.5625651917957
20251119_113037,357.3466744690637,352.5867596652354,353.30676681302
20251119_113140,357.9809257215466,352.55023656003,352.8497979137313
20251119_113243,357.0856348298873,351.4655427197501,351.6100910107007
20251119_113346,357.1483993607635,352.593999782006,353.170755766044
20251119_113449,358.581102278049,353.7384515106573,351.0858170563102
20251119_113552,357.9190809985315,351.5962870484603,352.3109996661364
20251119_113655,356.3109276658956,351.1425527455896,353.0715348991403
20251119_113758,357.887397735176,352.6796667427628,351.8342027917008
20251119_113901,356.2828914343517,351.9232360616664,352.5424139245981
20251119_114004,356.8434500104951,351.5430644719046,352.84494590612
20251119_114107,357.7795842221832,353.4250006470779,351.7341737711143
20251119_114210,356.6557452085718,350.5898675669136,351.704928676735
20251119_114313,357.6353587568981,350.9479601493277,351.2796485654313
20251119_114416,358.4186453531371,351.7103403245849,352.412424311581
20251119_114519,338.411802270254,351.788640332005,351.12686098853
20251119_114622,357.3490624843351,352.2485549869365,353.5994276812635
20251119_114725,358.0998206080548,352.1965439087448,353.1797158349064
20251119_114828,357.4147295963019,351.5898076013073,352.4186870210937
20251119_114931,358.0333535771616,352.372396708887,351.9414702891951
20251119_115034,358.6875943761571,353.39008700499,353.256452781976
