RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
10,9.590586160224834,0.5147967635522753
11,8.426390777058526,1.3007650784238296
12,7.6414910505096,2.404236488120743
13,9.134418575619081,2.651549215506253
14,9.698690924713647,2.682408882005165
15,9.698282545161431,2.6859800514088628
16,9.606584751125231,2.7449788699995175
17,9.99399342371169,3.070634286837192
18,9.512478665316566,2.6967305172778318
19,9.859005067637938,2.9895566106004776
20,7.960404162862652,0.2538518488676509
21,7.649044188077973,0.18836297202992325
22,9.97526028705506,3.2541949318987387
23,7.706570605512121,0.29069544602010305
24,8.931580109444075,1.6676647906455329
25,8.132295138237994,1.8157686663868562
26,4.96597369849963,2.0456247379731507
27,10.913084865840228,2.297022295314771
28,11.236885484733161,2.8979479790104596
29,8.04386625056634,0.32345233000920226
30,6.334354919035298,0.26741630595158206
31,6.408218685962707,0.38848564216442966
32,6.495488884830973,0.31966636780412294
33,6.177178581175794,0.3132265401866928
34,-176.20024029938628,0.3666333067487691
35,-174.2435553411744,3.5952263805199167
36,179.9558071810534,0.2811331001599463
37,-178.6420854092583,2.611546958975293
38,179.83688662436916,0.22168347817203715
39,179.8972752649665,0.33733552841919023
40,-178.68809208464796,1.9477447082203863
41,179.91936382123237,0.3244547112671163
42,179.89808417220553,0.240926711752203
43,-177.34709388763412,2.9502531862413317
44,179.8035071824932,0.22583954142844512
45,179.81998766077274,0.27732866924401817
46,-178.2782120728634,1.660496420435991
47,179.98259528107118,0.3124541975970431
48,179.97646104355638,0.30939262432616665
49,-177.31759201124603,2.714951590341087
50,-179.8055645641592,0.1370932351124165
51,179.9842982789411,0.26910595470053145
52,-178.00695878180878,1.8454723370896593
53,-179.97521720330323,0.2804112905630068
54,-179.88186124632938,0.23334410208254075
55,-173.9629641098146,0.9579557252595617
7,11.460926608358939,2.780517648042235
8,9.157465411390872,0.7945531811668191
9,9.815381918274664,0.3795216099160314
