TX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
49.0,-151.23470686657126,0.020162401575008274
55.0,-151.7424428513687,0.016796691658733865
15.0,-157.99367641897288,0.5602932391627035
24.0,-152.00538008888503,0.17213084341818735
48.0,-151.1458983781509,0.019759254837418118
3.0,-140.5073868316744,3.59299682865624
25.0,-153.03404807041267,0.1548200115051207
7.0,-153.99221239529695,1.4249435550095455
63.0,-151.677945011508,0.017803749757351644
12.0,-160.15139066542352,1.356534337457377
37.0,-152.1512903787879,0.04159960380016771
4.0,-131.36010760085045,2.214595470646236
51.0,-151.1699481562837,0.7964465159145463
26.0,-149.98842108656967,0.17115929994891144
41.0,-152.67582677797571,0.029103126317751776
23.0,-150.01075378397124,0.298140653547785
30.0,-149.41712601922958,1.6016737948688249
39.0,-152.12935126686227,0.034693929336802994
46.0,-153.14526742662375,0.020790405312967317
27.0,-150.28646341652427,0.12565415032855853
31.0,-151.88003888551327,0.06826908834607344
38.0,-152.07882127700105,0.0442101347908562
47.0,-153.15498465077079,0.01826470256228908
18.0,-154.90262054472026,0.5453987120191993
34.0,-152.95918018249455,0.062042512368505796
19.0,-156.40805050404043,0.5604365338470151
53.0,-151.34103356196923,0.015987184225761248
8.0,-152.87890760943625,1.8787553753409687
9.0,-145.31132154268724,1.5144265671061725
57.0,-151.74537370758466,0.016727554083722836
1.0,177.6244208441994,3.2182004946404366
35.0,-152.11531957061618,0.05122267071548975
11.0,-141.9177964096172,0.9213271540862749
60.0,-151.6674433557613,0.01717684737473645
62.0,-151.6877771709615,0.01782404041890963
54.0,-151.93578248349056,0.019942932870532653
33.0,-152.36768904965052,0.09686543971738668
45.0,-153.0588968852932,0.020324650623141427
16.0,-152.13185198760573,0.645178311150451
59.0,-151.64848562220018,0.016634148067602567
5.0,-163.20653519717135,1.319850454512356
21.0,-151.23856874553533,0.35646569095432223
36.0,-152.94415732314144,0.04371675737833951
28.0,-152.54392777895083,0.10540116050782959
6.0,-143.84966877433777,2.164571077689334
20.0,-148.99149301448804,0.3840690246077938
42.0,-153.18635805813196,0.02656897969470036
14.0,-146.5585127439398,0.696682758336295
58.0,-151.62869547018602,0.01818075726687343
44.0,-153.10379022490224,0.02238308310444773
10.0,-142.61169112814457,1.3165309978765682
2.0,-154.97532816409532,2.454691955959078
13.0,-143.79885990618766,0.8127468086703951
50.0,-151.1742589655914,0.01824092623281596
52.0,-151.21735861852304,0.017430519158375596
43.0,-153.41891541122905,0.02521061269645222
40.0,-152.94897799489755,0.031227524936807156
17.0,-146.65809069835024,0.48024761325481147
32.0,-153.04801943078158,0.06528610412806778
22.0,-151.35262274443386,0.24252741864100744
29.0,-150.37281270291626,0.11281433378820814
61.0,-151.61247772579438,0.015458617483837615
56.0,-151.70710039825082,0.017222377420329952
