Meas id,Circular Mean (degrees),Circular Std Dev (degrees)
3,-168.4480054154123,0.15419997956849513
8,-169.0468010453989,0.1517489830508609
5,-169.15715478225636,0.17236093242331435
1,-168.3316410527867,0.14049022867204805
2,-168.82638280408744,0.13452193066455329
10,-168.59499605626868,0.21942475847920603
7,-168.51952482451216,0.14933743840758634
4,-168.83751646705323,0.17294947319423398
9,-169.09784489928543,0.1334631100020396
6,-168.83580987687927,0.14588959744643676
